Year,Sum of Nighttime stable Lights:,Log(Sum of Nighttime stable Lights),Sum of Nighttime avg_vis,Log(Sum of Nighttime avg_vis),FWI (SUMMED),FWI (SUMMED-2/2),GDP growth (annual %)
1992,8041106.325,15.90007723,40612680.18,17.5195909,14,6,14.22452959
1993,8787409.149,15.98883048,37634517.93,17.44343222,14,6,13.8837293
1994,19394630.84,16.78050682,80033414.26,18.19795478,14,6,13.03680663
1995,11624733.42,16.26864558,42170418.13,17.55722954,14,6,10.95395434
1996,11144395.23,16.22644726,40407458.62,17.51452495,14,6,9.922556756
1997,22281062.61,16.91924767,79913102.91,18.19645039,14,6,9.236779894
1998,24573843.17,17.01719315,82576231.07,18.22923244,13,5.5,7.845951782
1999,23733461.36,16.98239648,79475854.59,18.19096382,13,5.5,7.661651506
2000,26172003.13,17.08020081,83809819.38,18.24406073,13,5.5,8.490093404
2001,27177864.71,17.1179134,86145883.2,18.27155273,13,5.5,8.335733476
2002,30041391.5,17.21808671,86935979.21,18.28068253,13,5.5,9.13363079
2003,27327176.83,17.12339225,73025588.11,18.10632046,13,5.5,10.03803048
2004,32551799.54,17.29834321,80138634.54,18.19926862,13,5.5,10.11362138
2005,31248960.95,17.25749668,74508401.25,18.12642245,13,5.5,11.39459181
2006,34652669.73,17.36088533,80479878.95,18.20351776,13,5.5,12.72095566
2007,38162393.88,17.45736114,86570164.5,18.27646579,13,5.5,14.23086093
2008,39566702.48,17.49349848,111720337.1,18.53150932,13,5.5,9.650678918
2009,20149746.25,16.81870225,48258275.55,17.69207788,13,5.5,9.398725632
2010,31082748.57,17.25216351,67998528.84,18.03499663,13,5.5,10.63587107
2011,27784838.27,17.14000104,58015500.33,17.87622078,13,5.5,9.550832179
2012,28945229.96,17.18091598,65514878.53,17.99778783,13,5.5,7.863736448